,FIC_801C_CV,FIC_802C_CV,PIT_806C,PIT_805,PIT_810,PIT_809C,FIT_801C_1,FIT_801C_2,FIT_801C_3,FIT_802C,PIT_808C,MB,dP,fluxo_teorico,PDI_806C
2024-04-22 10:00:00,36.0,80.0,1482.018,3987.155,29.49755,153.9034,72.29902,71.29277,51.5417976,56.1545448,1121.21069,80.94631026697289,2505.137,7.904935999999999,232.5479
2024-04-22 10:10:00,36.0,80.0,1481.068,3983.618,28.90925,153.5161,72.24615,70.7780762,52.782856,56.0432053,1121.57458,80.90499004219177,2502.55,7.8555359999999945,230.5325
2024-04-22 10:20:00,36.0,80.0,1480.197,3971.598,28.51717,155.314,72.27108,70.16066,52.6618767,56.1856461,1120.33911,80.72742466965214,2491.401,7.810243999999991,231.0978
2024-04-22 10:30:00,36.0,80.0,1477.695,3962.021,28.05787,154.0069,72.4978256,70.1898,52.6207047,55.9903946,1118.98389,80.61409315387691,2484.326,7.6801399999999935,231.1931
2024-04-22 10:40:00,36.0,80.0,1478.0,3971.303,23.04502,151.3744,72.57695,70.33043,51.7124939,55.6311874,1118.50256,80.75719999791116,2493.303,7.6959999999999935,230.7094
2024-04-22 10:50:00,36.0,80.0,1476.836,3968.066,16.04025,151.1584,72.40376,70.15324,52.29556,56.06905,1115.983,80.72392120355147,2491.2299999999996,7.635471999999994,235.277
2024-04-22 11:00:00,36.0,80.0,1482.092,3971.508,14.09202,151.0212,72.92062,70.422,51.8097076,54.39105,1124.31372,80.69624708312351,2489.4159999999997,7.908784000000002,234.6527
2024-04-22 11:10:00,36.0,80.0,1478.184,3957.117,14.17836,154.0181,72.58159,70.2851639,52.3105774,54.3467751,1120.87378,80.52815963589804,2478.933,7.7055679999999915,233.7198
2024-04-22 11:20:00,36.0,80.0,1477.372,3954.554,14.91627,152.3805,72.52247,69.96924,52.5402374,53.9101257,1119.17529,80.5000125624266,2477.182,7.663344000000001,233.0148
2024-04-22 11:30:00,36.0,80.0,1477.806,3948.742,14.89207,153.1364,72.51088,69.6821442,52.32406,55.04786,1121.01965,80.4003119560943,2470.936,7.6859119999999965,230.4928
2024-04-22 11:40:00,36.0,80.0,1475.903,3944.721,15.18738,153.8986,72.14229,70.03003,52.4025421,55.5304565,1118.76636,80.36599446229008,2468.818,7.586956000000002,232.668
2024-04-22 11:50:00,36.0,80.0,1475.903,3943.49,15.46402,152.9341,72.35845,70.0592651,52.57501,56.2601624,1119.14832,80.34630240335056,2467.5869999999995,7.586956000000002,229.5919
2024-04-22 12:00:00,36.0,80.0,1472.952,3939.726,15.60585,152.8109,72.2942047,69.8605,52.67309,56.76183,1116.42664,80.33259929022209,2466.7740000000003,7.433504000000001,233.2027
2024-04-22 12:10:00,36.0,80.0,1474.247,3939.554,15.85307,153.1665,72.05642,69.94166,52.55712,56.3736725,1117.48267,80.30942695869682,2465.307,7.500844000000001,231.7523
2024-04-22 12:20:00,36.0,80.0,1475.986,3938.659,15.95274,152.8532,72.37787,69.81748,52.5793762,56.06742,1119.266,80.26766732970215,2462.673,7.5912720000000045,230.1207
2024-04-22 12:30:00,36.0,80.0,1475.768,3936.357,15.946,151.7764,72.28502,69.7145844,52.8514824,55.637043,1116.70227,80.2342363524919,2460.589,7.579935999999999,233.2894
2024-04-22 12:40:00,36.0,80.0,1478.939,3949.297,16.06731,149.2805,72.7044,69.62355,52.8414726,54.92287,1119.43787,80.39133661742737,2470.358,7.744828000000001,230.7239
2024-04-22 12:50:00,36.0,80.0,1477.695,3932.638,16.07746,150.9385,72.45941,69.82377,52.5042343,54.1895,1118.60413,80.14419406005211,2454.943,7.6801399999999935,233.7582
2024-04-22 13:00:00,36.0,80.0,1480.3,3931.997,16.35445,149.4783,72.72245,69.2891541,53.22305,56.1308556,1121.362,80.09273963069344,2451.697,7.815599999999992,228.678
2024-04-22 13:10:00,36.0,80.0,1480.56,3949.383,16.85293,147.046,72.6325455,69.54434,54.1138,58.22887,1120.27844,80.36717011174937,2468.823,7.829119999999997,235.3361
2024-04-22 13:20:00,36.0,80.0,1476.451,3925.593,17.34441,151.7875,72.31923,70.1537552,53.83324,58.94187,1119.17249,80.05081279174745,2449.142,7.615451999999994,229.4792
2024-04-22 13:30:00,36.0,80.0,1486.09,3963.914,17.93768,149.8501,72.98021,71.04191,54.4288063,59.3619728,1124.75952,80.51230409068872,2477.8240000000005,8.116679999999992,232.8984
2024-04-22 13:40:00,36.0,80.0,1489.401,3971.011,18.37601,152.9695,72.92975,70.87501,54.66488,59.3495522,1127.12207,80.57350211524239,2481.6099999999997,8.288852000000004,236.1081
2024-04-22 13:50:00,36.0,80.0,1487.425,3962.913,18.99819,153.4782,72.64074,69.69565,54.3989754,58.1755638,1126.64917,80.47531224140836,2475.4880000000003,8.186099999999996,234.5637
2024-04-22 14:00:00,36.0,80.0,1489.034,3976.83,19.42293,151.3217,72.82708,69.72713,54.7572136,57.4858475,1126.80786,80.67204929183059,2487.796,8.269768000000006,235.134
2024-04-22 14:10:00,36.0,80.0,1488.827,3980.939,19.93087,152.216,72.90709,69.94359,54.87116,56.5809746,1126.08167,80.74074903247093,2492.112,8.259004,237.7324
2024-04-22 14:20:00,36.0,80.0,1486.293,3962.69,20.43781,154.5586,72.7223053,69.75691,54.5193138,56.6103745,1124.469,80.48956518573632,2476.397,8.12723599999999,234.2885
2024-04-22 14:30:00,36.0,80.0,1485.781,3959.336,20.84467,154.2861,72.6795959,69.7399445,54.51258,56.83675,1125.66223,80.44404533715813,2473.555,8.100611999999991,236.1093
2024-04-22 14:40:00,36.0,80.0,1485.415,3959.858,21.35758,153.6426,72.72847,69.98852,54.52358,56.1019,1124.40344,80.45814765722434,2474.443,8.08157999999999,236.8937
2024-04-22 14:50:00,36.0,80.0,1484.788,3970.5,21.9236,150.8273,73.0215759,70.23848,54.7908554,56.3674431,1122.29578,80.63784504194679,2485.712,8.048975999999996,238.6753
2024-04-22 15:00:00,36.0,80.0,1485.045,3959.696,22.34507,153.0137,72.95947,69.56994,54.64809,56.1520462,1122.75549,80.4613839224306,2474.651,8.062339999999999,233.463
2024-04-22 15:10:00,36.0,80.0,1482.488,3951.382,22.78008,153.1288,72.73964,69.2270355,54.425724,56.46137,1121.0022,80.36875928053473,2468.8940000000002,7.929375999999998,232.6572
2024-04-22 15:20:00,36.0,80.0,1485.549,3966.217,23.17505,150.5162,73.08529,69.83766,54.50262,56.30006,1124.72925,80.55757239212025,2480.668,8.088547999999994,233.1821
